Directories,Filename,Corrupt,Size,Multipart,Outof,MultipartFilename,Types,FileDay,FileMonth,FileYear,FileFullDate,Currency
albaraka2007,01-january2007ctd_part1.pdf,no,57496,1,129,01-january2007ctd,uncategorized,*,1,2007,*/01/2007,ctd
albaraka2007,01-january2007ctd_part2.pdf,no,65465,2,129,01-january2007ctd,uncategorized,*,1,2007,*/01/2007,ctd
albaraka2007,01-january2007ctd_part3.pdf,no,56935,3,129,01-january2007ctd,uncategorized,*,1,2007,*/01/2007,ctd
albaraka2007,01-january2007ctd_part4.pdf,no,81672,4,129,01-january2007ctd,uncategorized,*,1,2007,*/01/2007,ctd
albaraka2007,01-january2007ctd_part5.pdf,no,56266,5,129,01-january2007ctd,uncategorized,*,1,2007,*/01/2007,ctd
albaraka2007,01-january2007ctd_part6.pdf,no,56564,6,129,01-january2007ctd,uncategorized,*,1,2007,*/01/2007,ctd
albaraka2007,01-january2007ctd_part7.pdf,no,58338,7,129,01-january2007ctd,uncategorized,*,1,2007,*/01/2007,ctd
albaraka2007,01-january2007ctd_part8.pdf,no,57143,8,129,01-january2007ctd,uncategorized,*,1,2007,*/01/2007,ctd
albaraka2007,01-january2007ctd_part9.pdf,no,54841,9,129,01-january2007ctd,uncategorized,*,1,2007,*/01/2007,ctd
albaraka2007,01-january2007ctd_part10.pdf,no,56392,10,129,01-january2007ctd,uncategorized,*,1,2007,*/01/2007,ctd
albaraka2007,01-january2007ctd_part11.pdf,no,56000,11,129,01-january2007ctd,uncategorized,*,1,2007,*/01/2007,ctd
albaraka2007,01-january2007ctd_part12.pdf,no,54545,12,129,01-january2007ctd,uncategorized,*,1,2007,*/01/2007,ctd
albaraka2007,01-january2007ctd_part13.pdf,no,58658,13,129,01-january2007ctd,uncategorized,*,1,2007,*/01/2007,ctd
albaraka2007,01-january2007ctd_part14.pdf,no,86117,14,129,01-january2007ctd,uncategorized,*,1,2007,*/01/2007,ctd
