Directories,Filename,Corrupt,Size,Multipart,Outof,MultipartFilename,Types,FileDay,FileMonth,FileYear,FileFullDate,Currency
albaraka2006,01-january2006ctd_part49.pdf,no,50755,49,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part50.pdf,no,181262,50,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part51.pdf,no,50089,51,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part52.pdf,no,390776,52,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part53.pdf,no,64094,53,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part54.pdf,no,167474,54,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part55.pdf,no,40828,55,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part56.pdf,no,755427,56,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part57.pdf,no,713833,57,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part58.pdf,no,277441,58,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part59.pdf,no,268062,59,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part60.pdf,no,376711,60,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part61.pdf,no,222935,61,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part62.pdf,no,51934,62,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part63.pdf,no,618338,63,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part64.pdf,no,706499,64,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part65.pdf,no,750637,65,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part66.pdf,no,435760,66,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part67.pdf,no,313213,67,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part68.pdf,no,50047,68,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part69.pdf,no,149195,69,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part70.pdf,no,50581,70,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part71.pdf,no,154695,71,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,01-january2006ctd_part72.pdf,no,51102,72,72,01-january2006ctd,uncategorized,*,1,2006,*/01/2006,ctd
albaraka2006,02-february2006ctd_part1.pdf,no,107187,1,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part2.pdf,no,148818,2,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part3.pdf,no,93022,3,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part4.pdf,no,150021,4,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part5.pdf,no,111848,5,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part6.pdf,no,150617,6,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part7.pdf,no,101167,7,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part8.pdf,no,148123,8,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part9.pdf,no,94486,9,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part10.pdf,no,150560,10,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part11.pdf,no,104913,11,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part12.pdf,no,149905,12,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
albaraka2006,02-february2006ctd_part13.pdf,no,101751,13,150,02-february2006ctd,uncategorized,*,2,2006,*/02/2006,ctd
